algorithm,array_type,n,time_ns_median,time_ns_min,time_ns_max,char_comparisons,correct
std_quicksort,reverse_sorted,1300,177700,175900,186000,185005,1
std_mergesort,reverse_sorted,1300,75100,71900,128700,11370,1
string_quicksort_3way,reverse_sorted,1300,42200,39500,57700,11757,1
string_mergesort_lcp,reverse_sorted,1300,84000,80700,117000,5161,1
msd_radix_sort,reverse_sorted,1300,78900,77800,81500,0,1
msd_radix_quick_sort,reverse_sorted,1300,26400,23100,39100,5799,1
std_quicksort,reverse_sorted,1400,197400,195400,212300,204072,1
std_mergesort,reverse_sorted,1400,81100,78300,89600,12335,1
string_quicksort_3way,reverse_sorted,1400,62800,45400,117200,12686,1
string_mergesort_lcp,reverse_sorted,1400,93800,86600,160200,5547,1
msd_radix_sort,reverse_sorted,1400,85500,84700,88300,0,1
msd_radix_quick_sort,reverse_sorted,1400,29900,27900,41300,6211,1
std_quicksort,reverse_sorted,1500,224500,219400,229600,229766,1
std_mergesort,reverse_sorted,1500,86300,83800,110100,13260,1
string_quicksort_3way,reverse_sorted,1500,57000,50400,70300,13870,1
string_mergesort_lcp,reverse_sorted,1500,116900,95000,122100,5951,1
msd_radix_sort,reverse_sorted,1500,92500,91400,94900,0,1
msd_radix_quick_sort,reverse_sorted,1500,33000,30100,41300,6659,1
std_quicksort,reverse_sorted,1600,234300,230700,272500,239179,1
std_mergesort,reverse_sorted,1600,114400,96000,146800,14280,1
string_quicksort_3way,reverse_sorted,1600,67300,50100,70400,14768,1
string_mergesort_lcp,reverse_sorted,1600,116800,104300,133900,6452,1
msd_radix_sort,reverse_sorted,1600,97300,96900,99200,0,1
msd_radix_quick_sort,reverse_sorted,1600,34500,32100,47800,7115,1
std_quicksort,reverse_sorted,1700,235800,233300,241700,239746,1
std_mergesort,reverse_sorted,1700,123900,104200,172000,15038,1
string_quicksort_3way,reverse_sorted,1700,60800,54600,77100,15953,1
string_mergesort_lcp,reverse_sorted,1700,127100,116400,184200,6653,1
msd_radix_sort,reverse_sorted,1700,104600,103600,110400,0,1
msd_radix_quick_sort,reverse_sorted,1700,37200,34300,52500,7550,1
std_quicksort,reverse_sorted,1800,270300,243700,281000,243166,1
std_mergesort,reverse_sorted,1800,102900,100100,134300,15923,1
string_quicksort_3way,reverse_sorted,1800,70500,59200,85500,17096,1
string_mergesort_lcp,reverse_sorted,1800,125600,116000,143000,7071,1
msd_radix_sort,reverse_sorted,1800,110500,108900,118900,0,1
msd_radix_quick_sort,reverse_sorted,1800,39100,37600,57900,8015,1
std_quicksort,reverse_sorted,1900,288700,250100,337500,247919,1
std_mergesort,reverse_sorted,1900,116800,107700,132000,16744,1
string_quicksort_3way,reverse_sorted,1900,73400,63800,83500,18202,1
string_mergesort_lcp,reverse_sorted,1900,150600,131100,164100,7382,1
msd_radix_sort,reverse_sorted,1900,120300,117700,133400,0,1
msd_radix_quick_sort,reverse_sorted,1900,45500,40000,60300,8460,1
std_quicksort,reverse_sorted,2000,242100,239200,247400,242791,1
std_mergesort,reverse_sorted,2000,136100,129900,138500,17396,1
string_quicksort_3way,reverse_sorted,2000,70200,65600,91200,19099,1
string_mergesort_lcp,reverse_sorted,2000,157200,153700,178900,7684,1
msd_radix_sort,reverse_sorted,2000,140000,135400,145400,0,1
msd_radix_quick_sort,reverse_sorted,2000,58000,44600,71400,8891,1
std_quicksort,reverse_sorted,2100,256900,252300,284300,253809,1
std_mergesort,reverse_sorted,2100,122800,119300,144100,18385,1
string_quicksort_3way,reverse_sorted,2100,90300,73900,108200,20304,1
string_mergesort_lcp,reverse_sorted,2100,164400,160800,167900,8042,1
msd_radix_sort,reverse_sorted,2100,150900,128700,153900,0,1
msd_radix_quick_sort,reverse_sorted,2100,52500,41400,106600,9344,1
std_quicksort,reverse_sorted,2200,283100,277600,306900,282769,1
std_mergesort,reverse_sorted,2200,140400,125900,162200,19713,1
string_quicksort_3way,reverse_sorted,2200,87600,73500,97500,21324,1
string_mergesort_lcp,reverse_sorted,2200,158600,153500,281300,8558,1
msd_radix_sort,reverse_sorted,2200,154500,147900,167600,0,1
msd_radix_quick_sort,reverse_sorted,2200,91400,68500,113900,9791,1
std_quicksort,reverse_sorted,2300,297800,293200,307900,303736,1
std_mergesort,reverse_sorted,2300,152800,135500,158300,20868,1
string_quicksort_3way,reverse_sorted,2300,95700,86400,132400,22597,1
string_mergesort_lcp,reverse_sorted,2300,193300,176100,212700,9080,1
msd_radix_sort,reverse_sorted,2300,151800,150600,190000,0,1
msd_radix_quick_sort,reverse_sorted,2300,71200,59900,90400,10245,1
std_quicksort,reverse_sorted,2400,339700,317700,526400,326421,1
std_mergesort,reverse_sorted,2400,201300,156000,236500,22208,1
string_quicksort_3way,reverse_sorted,2400,88500,83100,114200,23677,1
string_mergesort_lcp,reverse_sorted,2400,196600,183200,240600,9667,1
msd_radix_sort,reverse_sorted,2400,170600,155400,173600,0,1
msd_radix_quick_sort,reverse_sorted,2400,75000,62400,115300,10694,1
std_quicksort,reverse_sorted,2500,388400,354300,412500,347158,1
std_mergesort,reverse_sorted,2500,199700,175700,246300,23074,1
string_quicksort_3way,reverse_sorted,2500,95700,87200,116200,24821,1
string_mergesort_lcp,reverse_sorted,2500,207800,195600,221000,9978,1
msd_radix_sort,reverse_sorted,2500,183100,179400,227500,0,1
msd_radix_quick_sort,reverse_sorted,2500,87500,84300,115800,11138,1
std_quicksort,reverse_sorted,2600,362100,358600,371500,371828,1
std_mergesort,reverse_sorted,2600,182700,158700,192200,24356,1
string_quicksort_3way,reverse_sorted,2600,96100,93700,116500,25872,1
string_mergesort_lcp,reverse_sorted,2600,212500,189700,239300,10556,1
msd_radix_sort,reverse_sorted,2600,173200,160000,219100,0,1
msd_radix_quick_sort,reverse_sorted,2600,63900,51400,82900,11552,1
std_quicksort,reverse_sorted,2700,389500,384000,394300,395142,1
std_mergesort,reverse_sorted,2700,165000,161100,196100,25386,1
string_quicksort_3way,reverse_sorted,2700,101300,94100,121200,26902,1
string_mergesort_lcp,reverse_sorted,2700,193500,189100,258400,10925,1
msd_radix_sort,reverse_sorted,2700,182000,168300,353600,0,1
msd_radix_quick_sort,reverse_sorted,2700,86300,62500,112700,12005,1
std_quicksort,reverse_sorted,2800,414300,399000,470100,416134,1
std_mergesort,reverse_sorted,2800,209100,192400,244500,26188,1
string_quicksort_3way,reverse_sorted,2800,127000,110000,206100,28058,1
string_mergesort_lcp,reverse_sorted,2800,252300,250200,256100,11168,1
msd_radix_sort,reverse_sorted,2800,221200,206400,234100,0,1
msd_radix_quick_sort,reverse_sorted,2800,90000,79200,159200,12458,1
